SquareFeet,Bedrooms,Bathrooms,YearBuilt,LotSize,GarageCars,Neighborhood,OverallQuality,HasPool,DistanceToCityCenter_km,Stories,SalePrice
1279.0,3,3.0,1951,5772.0,2.0,Suburb,2,0,7.3,2,279700.0
1695.0,3,2.0,1964,7835.0,2.0,Downtown,5,0,3.75,1,492000.0
2063.0,2,3.0,1952,7913.0,3.0,Rural,9,0,3.76,1,364500.0
3026.0,4,2.0,1992,3703.0,3.0,Downtown,8,0,1.14,1,765300.0
1913.0,3,1.5,1980,4749.0,2.0,Hillview,6,0,22.61,3,410100.0
1967.0,4,3.0,2019,4282.0,2.0,Rural,3,0,11.11,2,321900.0
1752.0,5,2.5,2016,9471.0,1.0,Rural,6,0,0.5,2,324400.0
553.0,2,1.5,2005,11634.0,2.0,Hillview,5,0,11.61,2,232600.0
1783.0,4,3.0,2012,4841.0,2.0,Uptown,1,0,10.77,2,417100.0
1839.0,3,2.5,1964,5582.0,3.0,Suburb,5,0,0.5,2,417700.0
3401.0,5,2.5,1959,8106.0,0.0,Suburb,7,0,3.69,1,569700.0
1675.0,2,2.0,1987,4232.0,2.0,Rural,9,0,7.47,2,294700.0
1996.0,4,3.0,1996,8162.0,2.0,Lakeside,1,0,4.82,1,546600.0
1777.0,4,3.0,2006,5948.0,2.0,Lakeside,3,0,12.04,1,560500.0
1040.0,3,3.0,1999,1641.0,1.0,Hillview,8,0,4.43,1,327100.0
2543.0,2,1.5,2020,2749.0,2.0,Downtown,6,0,1.34,1,630300.0
2289.0,4,3.0,1964,5155.0,2.0,Suburb,5,0,29.98,1,401100.0
2314.0,4,2.5,1967,9057.0,2.0,Downtown,10,0,2.22,2,681000.0
1209.0,3,2.5,1951,3769.0,1.0,Lakeside,2,0,10.12,1,352200.0
2712.0,4,2.0,1992,4665.0,2.0,Downtown,3,1,1.24,2,680500.0
889.0,3,3.5,1975,6528.0,1.0,Downtown,2,0,3.19,1,339800.0
2181.0,4,3.0,2020,1828.0,1.0,Rural,1,1,4.67,1,314500.0
3224.0,2,1.5,1987,6746.0,2.0,Suburb,7,1,1.71,2,582300.0
1156.0,5,2.0,1991,2141.0,2.0,Uptown,3,0,4.78,3,360500.0
1432.0,3,3.5,1954,7418.0,2.0,Suburb,7,0,1.37,2,351300.0
1865.0,3,1.0,1960,3978.0,2.0,Suburb,7,0,6.55,3,362300.0
1473.0,2,4.0,2014,3645.0,1.0,Suburb,8,0,8.72,2,401200.0
792.0,2,2.5,1983,6682.0,2.0,Lakeside,1,0,0.52,2,333100.0
1845.0,3,2.5,1950,7985.0,1.0,Suburb,5,0,16.39,2,360000.0
1110.0,3,2.0,1951,6941.0,3.0,Suburb,10,1,1.64,2,333100.0
2108.0,4,2.0,1969,6519.0,2.0,Suburb,9,0,2.04,1,415400.0
1202.0,1,3.5,2010,6555.0,2.0,Downtown,7,0,8.66,2,442300.0
2807.0,3,2.0,1970,6956.0,2.0,Lakeside,1,0,5.06,1,643800.0
1291.0,3,3.0,2017,7120.0,2.0,Downtown,8,0,5.54,2,494100.0
1591.0,1,2.0,1961,5014.0,2.0,Hillview,3,0,1.1,2,349900.0
2329.0,2,1.5,1971,7636.0,1.0,Suburb,4,0,13.11,1,418600.0
1000.0,3,1.0,1969,4005.0,1.0,Lakeside,4,0,7.68,1,351000.0
1948.0,3,2.5,1950,8728.0,2.0,Lakeside,10,0,1.16,1,617700.0
2650.0,3,4.0,1979,7956.0,3.0,Rural,8,0,3.75,3,416100.0
755.0,3,2.0,1973,11452.0,1.0,Uptown,1,0,13.3,1,233000.0
1920.0,3,2.0,1963,7285.0,1.0,Suburb,8,0,6.72,1,361600.0
1969.0,1,2.0,1985,8273.0,2.0,Rural,9,0,0.92,2,317700.0
2308.0,3,2.5,2018,2099.0,2.0,Suburb,9,0,3.73,2,505500.0
996.0,6,2.0,1973,8354.0,1.0,Suburb,5,0,2.22,1,288400.0
942.0,3,3.5,2009,8941.0,1.0,Lakeside,4,0,5.83,1,433100.0
2139.0,4,2.5,2004,9762.0,2.0,Suburb,4,0,14.83,1,412200.0
1993.0,3,2.5,1973,6301.0,2.0,Lakeside,9,0,4.59,1,636000.0
1963.0,4,1.5,1973,5145.0,0.0,Suburb,8,0,4.54,1,391700.0
2025.0,4,4.0,2003,3276.0,0.0,Rural,10,0,18.86,2,363200.0
1358.0,3,2.0,1975,3505.0,2.0,Hillview,10,0,6.87,2,380200.0
1951.0,6,1.0,2015,5936.0,2.0,Uptown,7,0,6.68,2,511500.0
1990.0,2,2.5,1987,1621.0,3.0,Uptown,3,0,2.43,2,475600.0
1336.0,1,2.5,2014,4079.0,2.0,Uptown,4,0,7.49,1,350300.0
3013.0,4,2.0,2000,6224.0,0.0,Hillview,9,0,6.86,1,609900.0
2108.0,4,2.0,1984,6168.0,2.0,Suburb,8,0,4.04,2,436400.0
1026.0,2,3.0,1992,3577.0,2.0,Uptown,1,0,37.42,1,259000.0
2227.0,3,1.5,1978,2915.0,1.0,Suburb,3,0,17.09,2,389800.0
1166.0,1,3.0,1986,3289.0,3.0,Downtown,10,0,11.08,2,434000.0
2312.0,3,2.5,2007,,,Downtown,2,0,6.17,2,579400.0
2553.0,4,2.0,2003,11324.0,1.0,Suburb,2,0,4.96,1,470400.0
1267.0,3,2.0,1988,8651.0,1.0,Rural,8,1,1.64,1,267800.0
2426.0,3,2.0,1991,6535.0,0.0,Lakeside,6,0,2.92,2,681000.0
2068.0,3,3.0,1977,7385.0,1.0,Lakeside,6,1,11.9,2,645800.0
2334.0,1,2.5,1978,,2.0,Rural,4,0,4.84,1,298800.0
3033.0,3,2.0,1992,7689.0,2.0,Downtown,1,0,17.11,3,674500.0
1640.0,4,2.5,1952,5229.0,3.0,Suburb,7,0,1.28,1,384100.0
1310.0,6,4.0,1959,3886.0,0.0,Suburb,8,0,5.68,1,355900.0
1222.0,4,2.0,2008,5687.0,2.0,Uptown,2,0,8.33,2,345900.0
1270.0,1,3.5,1963,8511.0,3.0,Downtown,2,0,5.82,2,361400.0
1750.0,5,2.0,1996,5324.0,2.0,Rural,1,0,17.6,3,260000.0
2022.0,4,1.0,1991,3238.0,0.0,Hillview,4,0,36.5,2,368600.0
1980.0,4,2.0,1981,1691.0,1.0,Uptown,6,0,0.98,1,505100.0
2338.0,3,2.0,1981,5697.0,1.0,Lakeside,5,0,1.11,2,615500.0
1808.0,3,2.0,1991,3436.0,3.0,Uptown,4,1,1.12,1,431200.0
2745.0,3,1.0,1981,4909.0,3.0,Suburb,4,0,9.14,2,441400.0
1628.0,2,3.5,1975,,3.0,Downtown,10,0,3.73,2,598800.0
3568.0,2,3.0,1950,5865.0,2.0,Lakeside,7,0,10.57,1,831600.0
2207.0,2,3.0,2005,4124.0,1.0,Uptown,7,0,4.16,2,555800.0
1243.0,3,1.5,1951,6772.0,3.0,Rural,2,0,7.9,2,197000.0
1104.0,4,1.5,1979,10802.0,3.0,Downtown,7,0,11.75,2,414800.0
2114.0,3,1.0,2020,5698.0,1.0,Uptown,2,0,6.36,2,492200.0
1655.0,2,3.0,2001,500.0,1.0,Downtown,4,0,6.2,1,469400.0
2264.0,6,3.5,1958,7625.0,2.0,Downtown,1,0,0.74,1,574100.0
2108.0,5,2.0,1971,6866.0,1.0,Suburb,5,0,4.23,1,429900.0
1753.0,4,1.5,1983,6225.0,0.0,Suburb,1,1,6.31,1,331200.0
1250.0,6,2.5,1998,5452.0,3.0,Downtown,4,0,4.96,2,467400.0
815.0,3,2.0,1950,3982.0,3.0,Downtown,9,0,18.48,3,386200.0
1510.0,6,2.0,2022,9787.0,1.0,Uptown,8,0,18.96,2,447600.0
2357.0,2,2.5,2002,1404.0,2.0,Rural,6,1,13.8,2,328400.0
1939.0,3,3.0,1989,5228.0,2.0,Rural,8,0,3.76,2,323300.0
990.0,2,1.5,1994,5169.0,2.0,Suburb,5,0,10.11,1,260200.0
1913.0,2,1.0,2017,8134.0,1.0,Hillview,7,1,4.02,3,440200.0
2050.0,2,4.0,1958,9089.0,2.0,Downtown,8,0,2.12,3,623600.0
1225.0,4,2.0,1971,5433.0,3.0,Downtown,7,0,3.36,2,425800.0
1900.0,4,1.0,1967,,3.0,Uptown,4,0,0.59,1,425400.0
1838.0,3,1.5,1992,6695.0,1.0,Downtown,5,0,3.23,2,498700.0
1057.0,2,1.0,1988,8633.0,1.0,Rural,10,0,4.94,1,265000.0
2033.0,4,2.0,2022,8582.0,3.0,Rural,6,0,24.89,2,366600.0
2165.0,4,3.0,1955,4654.0,0.0,Hillview,6,0,3.01,2,466000.0
2504.0,3,2.0,1997,7095.0,2.0,Lakeside,9,0,18.62,1,695900.0
2485.0,4,2.0,1956,6958.0,1.0,Hillview,10,0,2.08,3,550100.0
905.0,3,2.5,2018,5710.0,1.0,Downtown,2,0,1.7,3,359300.0
1190.0,3,2.5,1965,6934.0,2.0,Lakeside,6,0,5.86,3,477400.0
2135.0,5,3.5,1950,6050.0,1.0,Downtown,3,1,8.93,2,539200.0
2134.0,3,3.5,1986,6395.0,3.0,Uptown,2,0,0.5,1,519100.0
2135.0,3,1.0,1986,2610.0,0.0,Uptown,6,0,2.0,2,443100.0
4304.0,5,3.0,2013,3705.0,3.0,Downtown,4,0,4.87,2,946100.0
2171.0,4,2.0,2011,8044.0,3.0,Uptown,5,0,3.22,1,540300.0
2538.0,2,4.0,2021,2974.0,1.0,Downtown,5,0,9.98,2,647300.0
2420.0,2,2.0,2010,7175.0,2.0,Suburb,3,0,5.73,2,437000.0
2223.0,1,4.0,1982,5796.0,1.0,Hillview,4,0,1.4,1,459100.0
1595.0,4,3.0,2015,8577.0,2.0,Downtown,3,0,17.99,1,478700.0
2293.0,3,2.0,1979,7622.0,2.0,Downtown,7,0,2.77,1,581700.0
1298.0,2,2.5,1969,4867.0,1.0,Suburb,1,0,10.51,2,260600.0
1646.0,6,4.0,2009,5442.0,2.0,Lakeside,6,0,12.11,2,614600.0
1485.0,3,3.5,2023,1036.0,2.0,Downtown,4,0,26.41,1,455000.0
1853.0,2,1.0,1973,5674.0,3.0,Suburb,1,0,5.52,3,360500.0
3305.0,3,3.0,1953,2825.0,1.0,Lakeside,1,0,7.65,1,718500.0
586.0,4,2.0,1986,5453.0,2.0,Downtown,5,0,3.26,2,345000.0
2246.0,2,1.0,1953,4405.0,1.0,Suburb,5,0,9.07,2,374700.0
752.0,3,2.0,1967,3808.0,2.0,Lakeside,10,1,4.98,2,397600.0
1493.0,4,2.0,2015,8969.0,0.0,Rural,7,0,4.61,1,294100.0
2508.0,3,3.0,1997,2809.0,2.0,Lakeside,4,0,15.47,3,664800.0
1842.0,3,2.0,1982,3592.0,1.0,Downtown,9,0,0.5,3,551100.0
1099.0,3,3.0,2007,4254.0,2.0,Hillview,4,0,17.09,2,310900.0
1335.0,1,1.0,2022,4797.0,2.0,Hillview,7,0,15.29,2,349900.0
2242.0,2,2.0,1977,3808.0,2.0,Downtown,5,0,5.65,1,538200.0
1325.0,3,2.0,1984,5102.0,2.0,Downtown,5,1,5.39,2,450500.0
1941.0,2,2.0,1959,6755.0,2.0,Hillview,6,1,3.59,2,420500.0
1830.0,1,1.0,2014,7675.0,3.0,Suburb,8,0,41.16,2,344700.0
1376.0,4,1.5,1991,7553.0,2.0,Rural,5,0,0.94,2,229100.0
3194.0,6,2.5,1958,1229.0,3.0,Uptown,3,0,7.14,2,675700.0
2212.0,4,2.0,2009,6950.0,2.0,Lakeside,6,0,9.16,1,647700.0
484.0,5,2.0,1964,7105.0,2.0,Lakeside,2,0,21.78,1,273000.0
1921.0,2,2.0,2006,4344.0,1.0,Downtown,8,0,12.12,1,510800.0
1370.0,6,3.5,2018,10169.0,2.0,Suburb,8,0,8.26,1,408700.0
2354.0,2,3.5,1971,8719.0,1.0,Lakeside,3,0,0.99,2,634800.0
1285.0,6,2.0,2013,5542.0,3.0,Lakeside,8,0,3.74,2,583000.0
1725.0,6,2.0,1990,4510.0,2.0,Uptown,9,1,1.2,2,519700.0
2128.0,4,1.5,2020,10129.0,3.0,Hillview,5,1,17.04,2,490300.0
2363.0,6,4.0,2005,5952.0,0.0,Uptown,5,0,11.08,2,558900.0
1020.0,3,1.0,1972,6213.0,1.0,Suburb,6,0,11.34,1,250300.0
1583.0,3,2.0,1974,6181.0,3.0,Lakeside,7,1,8.45,1,524500.0
1491.0,3,2.0,1955,11758.0,1.0,Suburb,3,0,5.66,1,283000.0
1375.0,3,2.0,1983,5459.0,2.0,Downtown,5,0,1.3,2,442500.0
2948.0,2,1.5,2012,5941.0,3.0,Suburb,1,0,3.2,1,491800.0
2063.0,4,3.0,1958,3922.0,2.0,Lakeside,10,1,1.18,1,655100.0
980.0,6,1.5,2009,5026.0,1.0,Hillview,5,0,10.33,2,305500.0
2397.0,2,2.5,1998,3422.0,3.0,Suburb,4,0,1.4,3,446400.0
3179.0,4,1.5,2000,3973.0,0.0,Suburb,1,1,9.69,2,532500.0
2471.0,5,1.0,2009,1475.0,3.0,Rural,7,0,9.43,2,306100.0
812.0,5,3.5,2019,8204.0,0.0,Lakeside,1,1,4.92,2,410600.0
1485.0,6,1.5,1986,6392.0,2.0,Uptown,8,0,1.16,2,476600.0
2623.0,3,3.0,1980,6598.0,0.0,Rural,10,0,3.02,2,374900.0
1340.0,6,2.5,1990,5869.0,2.0,Uptown,2,0,3.09,2,384600.0
2088.0,4,1.0,2011,6179.0,0.0,Suburb,10,0,9.64,1,445000.0
2304.0,2,4.0,2007,10048.0,2.0,Suburb,5,0,0.97,1,473400.0
1197.0,3,2.0,1963,4078.0,2.0,Suburb,6,0,14.13,1,309000.0
1761.0,4,3.5,1985,6696.0,0.0,Lakeside,9,0,11.45,2,598000.0
400.0,2,1.5,1985,6682.0,2.0,Downtown,7,0,1.65,2,306500.0
1134.0,4,3.5,1957,,2.0,Uptown,6,0,10.16,1,383600.0
1636.0,4,1.0,1975,7097.0,1.0,Suburb,5,0,8.83,1,345000.0
989.0,2,2.5,1985,7222.0,0.0,Suburb,6,0,11.03,2,251600.0
2861.0,3,3.0,1997,2854.0,2.0,Suburb,4,0,1.68,2,508000.0
870.0,4,3.5,1977,3978.0,,Suburb,1,0,1.37,2,231000.0
1514.0,3,3.5,2017,3083.0,0.0,Suburb,9,0,2.16,2,376900.0
1885.0,1,3.0,2011,,1.0,Lakeside,5,0,3.64,2,554400.0
2737.0,1,3.5,2000,6993.0,2.0,Suburb,8,0,12.63,2,480000.0
867.0,3,1.5,1991,5346.0,2.0,Uptown,7,0,10.71,1,340700.0
2556.0,5,2.0,1978,6998.0,0.0,Suburb,8,0,20.77,1,429900.0
1807.0,2,2.0,1959,6089.0,,Rural,1,0,0.5,2,244700.0
1162.0,4,2.0,1988,6601.0,3.0,Rural,9,0,0.5,2,284400.0
2100.0,2,2.0,1950,9345.0,1.0,Hillview,1,0,9.61,3,363100.0
1929.0,3,2.5,1988,6018.0,1.0,Suburb,3,0,2.62,3,386000.0
1410.0,4,1.5,1970,7672.0,3.0,Suburb,8,0,3.25,2,368000.0
1845.0,4,2.5,2014,5244.0,2.0,Hillview,1,0,6.33,1,405800.0
1550.0,2,1.5,1964,8062.0,1.0,Downtown,1,0,0.86,3,386800.0
1874.0,3,2.0,1953,2901.0,2.0,Lakeside,6,1,8.23,2,538600.0
2230.0,1,2.5,2009,1406.0,2.0,Downtown,5,0,3.15,1,527300.0
2831.0,3,3.0,2010,11267.0,1.0,Uptown,6,0,8.01,2,641200.0
995.0,4,3.0,1969,10591.0,2.0,Downtown,3,0,14.37,1,380200.0
3186.0,2,2.5,1959,1136.0,2.0,Hillview,10,1,1.5,1,619300.0
531.0,3,1.5,1983,5910.0,2.0,Rural,10,0,21.37,2,172200.0
1701.0,3,2.5,1997,6375.0,3.0,Suburb,6,0,6.05,2,418100.0
2182.0,5,1.0,1982,7807.0,1.0,Downtown,2,0,20.5,1,497400.0
1983.0,6,2.0,2010,10348.0,2.0,Suburb,8,0,1.86,2,482100.0
1395.0,1,2.0,1959,3346.0,2.0,Uptown,6,0,7.42,3,367300.0
1665.0,4,1.0,2003,3481.0,2.0,Suburb,4,0,4.14,2,343800.0
1480.0,3,2.0,2014,5997.0,1.0,Suburb,4,0,11.91,1,333600.0
1417.0,3,4.0,1950,3591.0,1.0,Rural,7,0,7.45,1,266000.0
2352.0,4,4.0,1954,500.0,1.0,Suburb,3,0,5.46,1,426500.0
2032.0,5,2.0,1964,5432.0,1.0,Downtown,3,0,19.53,3,513300.0
1350.0,6,1.0,1977,8144.0,1.0,Downtown,6,0,3.79,2,418000.0
2385.0,3,1.5,1972,5949.0,2.0,Uptown,9,1,1.99,2,561700.0
2000.0,3,2.0,1966,7560.0,0.0,Hillview,1,0,7.49,2,364400.0
2328.0,4,3.5,1962,7203.0,2.0,Suburb,5,0,7.83,2,437200.0
2209.0,3,1.5,1963,3433.0,1.0,Lakeside,1,0,4.63,2,502300.0
1261.0,3,3.0,1960,6170.0,0.0,Downtown,1,1,5.33,2,385100.0
1436.0,3,1.5,1977,2187.0,1.0,Suburb,3,0,25.66,1,256500.0
2286.0,4,4.0,1991,4720.0,1.0,Rural,3,0,10.55,1,318000.0
2197.0,2,2.0,2010,6126.0,2.0,Suburb,4,0,0.94,3,421800.0
1786.0,2,3.0,2013,5997.0,1.0,Rural,3,0,1.91,3,272200.0
1876.0,5,2.0,1980,2773.0,3.0,Lakeside,6,0,29.7,3,542000.0
2630.0,2,2.5,2022,3278.0,3.0,Hillview,4,0,10.37,3,549700.0
1415.0,3,1.5,1959,6727.0,2.0,Downtown,8,0,19.73,2,400000.0
2156.0,2,1.5,1957,8068.0,2.0,Suburb,1,0,2.9,2,383900.0
1669.0,1,3.5,1970,5483.0,0.0,Hillview,8,0,10.83,2,433700.0
1659.0,1,3.5,2008,5357.0,2.0,Suburb,1,0,10.01,2,348900.0
2514.0,2,3.5,1999,8328.0,2.0,Uptown,1,0,2.79,1,517200.0
2337.0,5,2.5,2018,4070.0,1.0,Suburb,7,0,6.4,1,467200.0
2329.0,3,3.0,2019,10318.0,0.0,Suburb,1,0,7.9,3,448100.0
2649.0,6,1.0,1979,2637.0,,Downtown,9,0,5.25,1,669200.0
1814.0,3,2.0,1966,8621.0,2.0,Lakeside,8,0,14.04,2,555900.0
2243.0,3,2.0,1969,7348.0,2.0,Lakeside,1,0,14.31,1,536900.0
1598.0,3,2.5,1997,12025.0,1.0,Suburb,2,0,15.21,1,308900.0
2011.0,3,2.0,2022,3197.0,2.0,Lakeside,2,0,13.01,1,531700.0
1715.0,4,1.5,1951,500.0,2.0,Suburb,2,0,5.36,1,278700.0
1863.0,3,2.5,1986,9124.0,2.0,Downtown,6,0,3.84,1,557500.0
2187.0,3,3.0,1950,2322.0,1.0,Lakeside,4,0,14.24,1,524700.0
1268.0,5,2.0,1953,7539.0,2.0,Rural,8,1,5.39,2,267800.0
